id,Date,Open,High,Low,Close,Volume,Futureprice
1,2021-11-28-23,56076.09,57469.36,56076.09,57335.37,82.104303499,57815.97
2,2021-11-28-22,56356.18,56764.59,56069.49,56076.09,35.7329309601,57335.37
3,2021-11-28-21,54962.38,56440.62,54879.99,56356.18,98.5372664846,56076.09
4,2021-11-28-20,54659.27,55183.6,54659.27,54962.38,59.605230319,56356.18
5,2021-11-28-19,54137.82,54923.18,54096.24,54659.27,39.9403433543,54962.38
6,2021-11-28-18,53940.57,54201.0,53333.33,54137.82,81.2045427415,54659.27
7,2021-11-28-17,54233.11,54310.19,53811.38,53940.57,36.6667660526,54137.82
8,2021-11-28-16,54334.77,54389.56,53998.0,54233.11,18.5254643117,53940.57
9,2021-11-28-15,54390.47,54481.46,54218.1,54334.77,9.7390342977,54233.11
10,2021-11-28-14,54337.49,54569.31,54094.43,54390.47,12.0927697085,54334.77
11,2021-11-28-13,54385.72,54440.13,54259.96,54337.49,6.6996342648,54390.47
12,2021-11-28-12,54530.68,54671.03,54322.78,54385.72,10.1583700636,54337.49
13,2021-11-28-11,54769.28,54891.29,54497.43,54530.68,10.8610891642,54385.72
14,2021-11-28-10,54361.53,54942.25,54224.13,54769.28,7.4584390028,54530.68
15,2021-11-28-09,54429.28,54491.15,54189.87,54361.53,10.4464008798,54769.28
16,2021-11-28-08,54566.94,54712.21,54284.29,54429.28,8.2632813891,54361.53
17,2021-11-28-07,54527.74,54659.73,54439.52,54566.94,5.5803074383,54429.28
18,2021-11-28-06,54425.59,54619.24,54236.42,54527.74,18.459704053,54566.94
19,2021-11-28-05,54082.35,54425.59,54031.36,54425.59,11.8114243532,54527.74
20,2021-11-28-04,54161.85,54244.36,53981.71,54082.35,13.4647159033,54425.59
21,2021-11-28-03,54384.68,54491.24,54071.82,54161.85,19.8688046823,54082.35
22,2021-11-28-02,54280.19,54408.72,53739.8,54384.68,95.4985564162,54161.85
23,2021-11-28-01,54734.44,54766.43,54145.03,54280.19,12.1809116087,54384.68
24,2021-11-28-00,54784.01,54855.87,54328.93,54734.44,19.0868820539,54280.19
25,2021-11-27-23,54917.73,54932.33,54411.88,54784.01,14.0829843399,54734.44
26,2021-11-27-22,54628.34,55000.0,54575.4,54917.73,20.6114897556,54784.01
27,2021-11-27-21,54304.91,54725.51,54051.45,54628.34,24.7223944887,54917.73
28,2021-11-27-20,54990.16,55104.01,54193.73,54304.91,31.3173059571,54628.34
29,2021-11-27-19,55027.64,55050.45,54888.0,54990.16,14.0802196848,54304.91
30,2021-11-27-18,54953.44,55080.67,54722.77,55027.64,21.2826527496,54990.16
31,2021-11-27-17,54960.43,55150.89,54888.01,54953.44,21.6444842593,55027.64
32,2021-11-27-16,54948.43,55254.34,54869.55,54960.43,16.9344838556,54953.44
33,2021-11-27-15,54757.46,55049.41,54682.14,54948.43,27.0107699766,54960.43
34,2021-11-27-14,55061.06,55264.87,54745.96,54757.46,13.3081868767,54948.43
35,2021-11-27-13,54770.07,55238.03,54697.41,55061.06,14.4245746003,54757.46
