id,Date,Open,High,Low,Close,Volume,Futureprice
1,2021-11-28-23-59,57242.21,57339.52,57227.47,57338.55,0.25051,57481.64
2,2021-11-28-23-58,57245.03,57278.69,57245.03,57278.69,0.22657127,57338.55
3,2021-11-28-23-57,57214.77,57240.12,57201.13,57225.32,0.03794212,57278.69
4,2021-11-28-23-56,57180.98,57228.58,57175.84,57214.77,10.02404767,57225.32
5,2021-11-28-23-55,57190.55,57190.55,57145.64,57145.64,0.23930382,57214.77
6,2021-11-28-23-54,57228.06,57234.05,57183.95,57213.04,0.16451779,57145.64
7,2021-11-28-23-53,57217.16,57238.86,57217.16,57238.86,0.23643778,57213.04
8,2021-11-28-23-52,57152.49,57158.33,57100.0,57158.33,0.07157116,57238.86
9,2021-11-28-23-51,57200.0,57223.19,57152.53,57165.39,3.58749602,57158.33
10,2021-11-28-23-50,57166.15,57257.3,57166.15,57257.3,0.50629059,57165.39
11,2021-11-28-23-49,57179.09,57179.09,57179.09,57179.09,0.04373478,57257.3
12,2021-11-28-23-48,57203.97,57203.97,57166.53,57182.21,0.61254286,57179.09
13,2021-11-28-23-47,57234.08,57280.65,57181.27,57181.27,1.12662258,57182.21
14,2021-11-28-23-46,57178.69,57180.08,57178.09,57180.08,0.1250522,57181.27
15,2021-11-28-23-45,57138.0,57177.35,57125.49,57177.35,1.01082847,57180.08
16,2021-11-28-23-44,57198.6,57230.84,57158.72,57162.89,0.77408091,57177.35
17,2021-11-28-23-43,57176.0,57226.17,57167.67,57226.17,0.20406695,57162.89
18,2021-11-28-23-42,57255.69,57260.61,57190.02,57191.06,0.54623342,57226.17
19,2021-11-28-23-41,57257.89,57291.73,57256.17,57268.34,0.24522573,57191.06
20,2021-11-28-23-40,57261.95,57267.12,57251.62,57264.69,0.36735674,57268.34
21,2021-11-28-23-39,57363.37,57364.57,57247.49,57280.3,1.0266435,57264.69
22,2021-11-28-23-38,57353.07,57401.18,57353.07,57382.06,0.05492,57280.3
23,2021-11-28-23-37,57295.1,57379.99,57276.86,57379.99,0.85001658,57382.06
24,2021-11-28-23-36,57299.11,57347.57,57277.79,57277.79,2.90286374,57379.99
25,2021-11-28-23-35,57289.58,57319.9,57269.89,57296.36,0.47473006,57277.79
26,2021-11-28-23-34,57349.66,57352.71,57268.96,57298.12,0.54854381,57296.36
27,2021-11-28-23-33,57459.97,57459.97,57339.31,57339.31,0.48582713,57298.12
28,2021-11-28-23-32,57418.29,57482.42,57411.12,57449.03,3.94271234,57339.31
29,2021-11-28-23-31,57441.0,57441.0,57401.79,57414.94,0.34358652,57449.03
30,2021-11-28-23-30,57333.21,57441.0,57333.21,57441.0,1.23354015,57414.94
31,2021-11-28-23-29,57256.24,57328.23,57256.24,57328.23,1.95822788,57441.0
32,2021-11-28-23-28,57256.41,57290.17,57242.7,57277.02,1.43959046,57328.23
33,2021-11-28-23-27,57381.92,57395.0,57271.01,57272.25,1.11222629,57277.02
34,2021-11-28-23-26,57362.8,57404.85,57362.8,57394.05,1.2704087,57272.25
35,2021-11-28-23-25,57260.53,57337.84,57260.53,57337.84,0.24397494,57394.05
36,2021-11-28-23-24,57323.54,57344.71,57260.69,57260.69,1.38364836,57337.84
